symbol,name,gql_symbol,gql_name,exch,gics_sector,industry,qm,shares_outstanding,market_cap,price,gql_ok,suffix,tsxv_sector,drop_reason,in_universe
XX,Avante Corp.,XX,Avante Corp.,TSXV,Industrials,Corporate Services,Security Services,26648739.0,46102319.0,1.73,True,,Diversified Industries,,True
AVN,Avanti Helium Corp.,AVN,Avanti Helium Corp.,TSXV,Energy,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,128754916.0,57939713.0,0.45,True,,Oil & Gas,,True
AVR,Avaron Mining Corp.,AVR,Avaron Mining Corp.,TSXV,Finance,Diversified Financial Services,Other Diversified Financial Services,15046497.0,827558.0,0.055,True,,Diversified Industries,,True
AVG,Avidian Gold Corp.,AVG,Avidian Gold Corp.,TSXV,Materials,Mining,Gold,18973408.0,2751145.0,0.145,True,,Mining,,True
AVCR,Avricore Health Inc.,AVCR,Avricore Health Inc.,TSXV,Healthcare,Medical Diagnostics & Screening,Diagnostics & Screening,126369664.0,9477725.0,0.075,True,,Life Sciences,,True
AVU,Avrupa Minerals Ltd.,AVU,Avrupa Minerals Ltd.,TSXV,Materials,Mining,Industrial Metals,86274754.0,3450991.0,0.04,True,,Mining,,True
ARIC,Awale Resources Limited,ARIC,Awale Resources Limited,TSXV,Materials,Mining,Gold,143317133.0,111787364.0,0.78,True,,Mining,,True
AXET.P,Axe2 Acquisitions Inc.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
AXO,Axo Metals Corp.,AXO,Axo Metals Corp.,TSXV,Materials,Mining,Copper,216355353.0,205537586.0,0.95,True,,Mining,,True
AZR,Azarga Metals Corp.,AZR,Azarga Metals Corp.,TSXV,Materials,Mining,Industrial Metals,91405945.0,15996041.0,0.175,True,,Mining,,True
AZM,Azimut Exploration Inc.,AZM,Azimut Exploration Inc.,TSXV,Materials,Mining,Industrial Metals,100939310.0,59554193.0,0.59,True,,Mining,,True
AAZ,Azincourt Energy Corp.,AAZ,Azincourt Energy Corp.,TSXV,Energy,Other Energy Sources,Uranium,153694652.0,6147787.0,0.04,True,,CleanTech,,True
AZT,Aztec Minerals Corp.,AZT,Aztec Minerals Corp.,TSXV,Materials,Mining,Industrial Metals,189711309.0,73038854.0,0.385,True,,Mining,,True
BLDS,Badlands Resources Inc.,BLDS,Badlands Resources Inc.,TSXV,Materials,Mining,Gold,3230647.0,904582.0,0.28,True,,Mining,,True
BLTC.P,Baltic I Acquisition Corp.,,,,,,,,,,False,P,Diversified Industries,suffix:P,False
BYN,Banyan Gold Corp.,BYN,Banyan Gold Corp.,TSXV,Materials,Mining,Gold,430954172.0,864063115.0,2.005,True,,Mining,,True
BRO,Barksdale Resources Corp.,BRO,Barksdale Resources Corp.,TSXV,Materials,Mining,Industrial Metals,225417510.0,36066802.0,0.16,True,,Mining,,True
BARU,Baru Gold Corp.,BARU,Baru Gold Corp.,TSXV,Materials,Mining,Gold,389350089.0,25307756.0,0.065,True,,Mining,,True
BAT,Batero Gold Corp,BAT,Batero Gold Corp.,TSXV,Materials,Mining,Precious Metals,115182383.0,10942327.0,0.095,True,,Mining,,True
BMV,Bathurst Metals Corp.,BMV,Bathurst Metals Corp.,TSXV,Materials,Mining,Industrial Metals,49823694.0,3736778.0,0.075,True,,Mining,,True
BMR,Battery Mineral Resources Corp.,BMR,Battery Mineral Resources Corp.,TSXV,Materials,Mining,Industrial Metals,417928349.0,71047820.0,0.17,True,,Mining,,True
BHS,Bayhorse Silver Inc.,BHS,Bayhorse Silver Inc.,TSXV,Materials,Mining,Industrial Metals,417654900.0,27147569.0,0.065,True,,Mining,,True
BM,BC Moly Ltd.,BM,BC Moly Ltd.,TSXV,Materials,Mining,Industrial Metals,31606249.0,4266844.0,0.135,True,,Mining,,True
B,BCM Resources Corporation,B,BCM Resources Corporation,TSXV,Materials,Mining,Industrial Metals,245487115.0,186570208.0,0.76,True,,Mining,,True
BECN,Beacn Wizardry & Magic Inc.,BECN,Beacn Wizardry & Magic Inc.,TSXV,Technology,Hardware & Equipment,Consumer Electronics,62757702.0,1882732.0,0.03,True,,Technology,,True
BCM.WT,Bear Creek Mining Corporation wt 05Oct2028,,,,,,,,,,False,WT,Diversified Industries,suffix:WT,False
BGF,Beauce Gold Fields Inc.,BGF,Beauce Gold Fields Inc.,TSXV,Materials,Mining,Gold,138684193.0,4853947.0,0.035,True,,Mining,,True
BFM,Bedford Metals Corp.,BFM,Bedford Metals Corp.,TSXV,Materials,Mining,Gold,93897845.0,11267742.0,0.12,True,,Mining,,True
BCU,Bell Copper Corporation,BCU,Bell Copper Corporation,TSXV,Materials,Mining,Copper,144760364.0,9409424.0,0.065,True,,Mining,,True
BEA,Belmont Resources Inc.,BEA,Belmont Resources Inc.,TSXV,Materials,Mining,Industrial Metals,106183272.0,3716415.0,0.035,True,,Mining,,True
BEX,Benton Resources Inc.,BEX,Benton Resources Inc.,TSXV,Materials,Mining,Industrial Metals,291270254.0,34952431.0,0.12,True,,Mining,,True
BZ,Benz Mining Corp.,BZ,Benz Mining Corp.,TSXV,Materials,Mining,Gold,338895063.0,1355580252.0,4.0,True,,Mining,,True
BST,Bessor Minerals Inc.,BST,Bessor Minerals Inc.,TSXV,Materials,Mining,Industrial Metals,31285623.0,469285.0,0.015,True,,Mining,,True
BEW,BeWhere Holdings Inc.,BEW,BeWhere Holdings Inc.,TSXV,Technology,Hardware & Equipment,Communications Equipment,97108502.0,68947037.0,0.71,True,,Technology,,True
BEAR,Big Bear Gold Corp.,BEAR,Big Bear Gold Corp.,TSXV,Materials,Mining,Gold,35567487.0,2489725.0,0.07,True,,Mining,,True
BRAU,Big Ridge Gold Corp.,BRAU,Big Ridge Gold Corp.,TSXV,Materials,Mining,Gold,318142789.0,181341390.0,0.57,True,,Mining,,True
BIGT,Big Tree Carbon Inc.,BIGT,Big Tree Carbon Inc.,TSXV,Materials,Mining,Gold,119319856.0,1789798.0,0.015,True,,Mining,,True
BRM,Biorem Inc.,BRM,Biorem Inc.,TSXV,Industrials,Industrial Goods,Waste & Pollution Control,16307027.0,58705298.0,3.6,True,,Diversified Industries,,True
